,currency,equity,fixed_income,private_equity,gold,commodities_ex_gold,cash
2012-10-31,USD,-0.0051403696,-0.0004726610,-0.0216916704,-0.0294374168,-0.0390515941,0.0000868111
2012-11-30,USD,0.0159311948,0.0027065514,0.0055127300,-0.0046754107,0.0195937360,0.0000711496
2012-12-31,USD,0.0290411560,-0.0024519065,0.0361880266,-0.0242697905,-0.0113879878,0.0000473557
2013-01-31,USD,0.0376456367,-0.0062118817,0.0623817888,-0.0050611486,0.0248378962,0.0000531901
2013-02-28,USD,-0.0010021884,0.0059084260,0.0100467208,-0.0508684684,-0.0470670331,0.0000671764
2013-03-31,USD,0.0182583665,0.0009857716,0.0465904452,0.0094771042,0.0066347632,0.0000598409
2013-04-30,USD,0.0283744687,0.0096850324,-0.0034944763,-0.0756231331,-0.0380813787,0.0000488644
2013-05-31,USD,-0.0038318979,-0.0200104864,0.0393197345,-0.0619878535,-0.0156070163,0.0000302415
2013-06-30,USD,-0.0260172332,-0.0156542554,-0.0081801368,-0.1105883943,-0.0282290505,0.0000312542
2013-07-31,USD,0.0458000445,0.0026914078,0.0733418291,0.0743010530,0.0318345315,0.0000210110
2013-08-31,USD,-0.0229490708,-0.0082642219,-0.0316418201,0.0520474842,0.0281526718,0.0000289263
2013-09-30,USD,0.0553926990,0.0112066802,0.0648908671,-0.0478383797,-0.0337584821,0.0000077256
2013-10-31,USD,0.0395027120,0.0083266235,0.0242008094,-0.0034326325,-0.0003880650,0.0000297469
2013-11-30,USD,0.0155219690,-0.0025065985,0.0395638122,-0.0551119542,-0.0093205044,0.0000452478
2013-12-31,USD,0.0206919769,-0.0055679480,0.0202115725,-0.0379452719,0.0058801430,0.0000496308
2014-01-31,USD,-0.0463378775,0.0154094882,-0.0277391640,0.0341887142,-0.0303974893,0.0000310901
2014-02-28,USD,0.0520471827,0.0037640923,0.0477886308,0.0627030280,0.0502410653,0.0000281312
2014-03-31,USD,0.0057087336,-0.0014803195,-0.0074845334,-0.0314214234,-0.0003826563,0.0000353082
2014-04-30,USD,0.0118676205,0.0082161127,-0.0374765632,0.0049348807,0.0111025766,0.0000170392
2014-05-31,USD,0.0200577459,0.0117902065,0.0078585386,-0.0305103919,-0.0143884843,0.0000179433
2014-06-30,USD,0.0181821136,-0.0005749794,0.0527200118,0.0631901765,0.0211294632,0.0000197236
2014-07-31,USD,-0.0144374365,-0.0025089183,-0.0605430669,-0.0363167302,-0.0474040201,0.0000137248
2014-08-31,USD,0.0257618659,0.0114959105,0.0482956764,0.0038090706,-0.0114534577,0.0000166832
2014-09-30,USD,-0.0331579550,-0.0061480274,-0.0592790401,-0.0617632931,-0.0723131767,0.0000105746
2014-10-31,USD,0.0120542249,0.0106408086,0.0659352066,-0.0305481064,-0.0387597366,0.0000088761
2014-11-30,USD,0.0137559714,0.0065701676,0.0011151504,-0.0048819726,-0.0851254200,0.0000081912
2014-12-31,USD,-0.0235768362,0.0014756369,0.0289293427,0.0131121328,-0.0964738794,0.0000130947
2015-01-31,USD,-0.0131624131,0.0205229149,-0.0327703990,0.0868990576,-0.0569106894,0.0000104924
2015-02-28,USD,0.0550840127,-0.0089474646,0.0594641706,-0.0590521949,0.0442527869,0.0000070407
2015-03-31,USD,-0.0146116338,0.0037472934,0.0176998126,-0.0215220379,-0.0605392193,0.0000139162
2015-04-30,USD,0.0286571856,-0.0032281648,-0.0256493300,-0.0016716737,0.0714704204,0.0000098623
2015-05-31,USD,0.0000000000,-0.0043740481,0.0223635169,0.0055521041,-0.0317116077,0.0000061641
2015-06-30,USD,-0.0257836539,-0.0107668737,0.0078294264,-0.0151621012,0.0163750841,0.0000057806
2015-07-31,USD,0.0082424387,0.0086213449,-0.0110394631,-0.0662098626,-0.1261111355,0.0000167372
2015-08-31,USD,-0.0680681895,-0.0033580302,-0.0631097599,0.0370723280,-0.0025428958,0.0000430006
2015-09-30,USD,-0.0343715008,0.0081145564,-0.0493631377,-0.0180113866,-0.0344167545,0.0000162170
2015-10-31,USD,0.0765666314,0.0006858487,0.0562270956,0.0228336368,0.0033001602,0.0000095603
2015-11-30,USD,-0.0053383605,-0.0038910907,0.0325991813,-0.0675206283,-0.0664473302,0.0000903602
2015-12-31,USD,-0.0210578035,-0.0019173712,-0.0503041404,-0.0045133349,-0.0584918510,0.0001718099
2016-01-31,USD,-0.0530275860,0.0124068981,-0.0857750925,0.0541099735,-0.0434130713,0.0001806231
2016-02-29,USD,-0.0124857259,0.0088706778,-0.0022341452,0.1093034388,-0.0023474912,0.0002472032
2016-03-31,USD,0.0739464997,0.0087469771,0.0801344932,-0.0084288605,0.0423529406,0.0002354228
2016-04-30,USD,0.0133783868,0.0025491113,0.0167225473,0.0510880837,0.0970653624,0.0001706519
2016-05-31,USD,0.0033445539,0.0001357603,0.0224041185,-0.0613829670,0.0089163459,0.0002226638
2016-06-30,USD,-0.0004972199,0.0193515494,-0.0001741331,0.0896950188,0.0435080077,0.0002071294
2016-07-31,USD,0.0377027579,0.0054442347,0.0587491148,0.0198465603,-0.0697069826,0.0002205371
2016-08-31,USD,0.0034273477,-0.0021540316,0.0178408470,-0.0325631655,0.0077031122,0.0002520885
2016-09-30,USD,0.0093936600,0.0005166114,0.0107382983,0.0068921351,0.0430854410,0.0002235148
2016-10-31,USD,-0.0191200472,-0.0081718441,-0.0459706047,-0.0294491958,-0.0033310918,0.0002584606
2016-11-30,USD,0.0103502369,-0.0256547068,0.1106331329,-0.0835657064,0.0167112762,0.0003589689
2016-12-31,USD,0.0196228221,0.0025410497,0.0288443103,-0.0191498827,0.0414201539,0.0003994349
2017-01-31,USD,0.0290686796,0.0021282808,0.0028179517,0.0541921577,-0.0056819246,0.0004323675
2017-02-28,USD,0.0251272615,0.0064585450,0.0193005358,0.0318476868,-0.0019047500,0.0003893597
2017-03-31,USD,0.0134572391,-0.0005527984,0.0002601989,-0.0042774647,-0.0324426891,0.0006125453
2017-04-30,USD,0.0161240418,0.0090703182,0.0114927421,0.0172674815,-0.0269559284,0.0005973535
2017-05-31,USD,0.0220908827,0.0068707290,-0.0197038613,-0.0012419798,-0.0141891756,0.0007873885
2017-06-30,USD,0.0078712028,-0.0001818266,0.0337442857,-0.0215553477,-0.0095956299,0.0007922106
2017-07-31,USD,0.0273322373,0.0033395630,0.0085243351,0.0231317017,0.0408303478,0.0008884915
2017-08-31,USD,0.0040133099,0.0094132076,-0.0125786107,0.0419875751,0.0039894119,0.0008518579
2017-09-30,USD,0.0188008104,-0.0057159732,0.0630416338,-0.0336989181,0.0198675744,0.0007994095
2017-10-31,USD,0.0215052653,0.0009786953,0.0072881902,-0.0074848137,0.0396105063,0.0009243609
2017-11-30,USD,0.0201990409,-0.0014833814,0.0294117748,0.0035634401,0.0093689433,0.0009904434
2017-12-31,USD,0.0145035417,0.0047515664,-0.0039851132,0.0210570032,0.0278467107,0.0010234919
2018-01-31,USD,0.0570123412,-0.0112501597,0.0255801567,0.0323493728,0.0295001127,0.0012507842
2018-02-28,USD,-0.0447506697,-0.0100874200,-0.0384365074,-0.0207599020,-0.0292395848,0.0011795786
2018-03-31,USD,-0.0149747325,0.0067115618,0.0121753436,0.0063200073,0.0228914880,0.0013234147
2018-04-30,USD,0.0040447851,-0.0094103501,0.0098135793,-0.0095397454,0.0341578829,0.0015045134
2018-05-31,USD,0.0047228766,0.0066185581,0.0616358222,-0.0119592095,0.0267653984,0.0015523999
2018-06-30,USD,-0.0058530591,0.0010263750,0.0061433523,-0.0361494476,-0.0194121548,0.0014797412
2018-07-31,USD,0.0306523660,-0.0002925847,0.0164907810,-0.0224189096,-0.0243212409,0.0016787367
2018-08-31,USD,0.0069576419,0.0056800843,0.0431058336,-0.0213811171,0.0075362495,0.0016955721
2018-09-30,USD,0.0060969021,-0.0061972191,-0.0232498308,-0.0066073472,0.0339470444,0.0016005178
2018-10-31,USD,-0.0743335783,-0.0064404817,-0.1098784584,0.0211954536,-0.0562049944,0.0019921261
2018-11-30,USD,0.0158571473,0.0077155987,0.0172631758,0.0033868813,-0.0984669107,0.0018792222
2018-12-31,USD,-0.0721015840,0.0198121317,-0.1197215052,0.0494201059,-0.0400124857,0.0019633982
2019-01-31,USD,0.0804240124,0.0091082734,0.1132190603,0.0288659794,0.0710835960,0.0019787955
2019-02-28,USD,0.0246678338,-0.0011380521,0.0517913277,-0.0060922015,0.0283504487,0.0018004168
2019-03-31,USD,0.0157682129,0.0212263306,-0.0209332035,-0.0159689956,-0.0037594533,0.0018759156
2019-04-30,USD,0.0342345098,-0.0020040174,0.0339669254,-0.0066388425,0.0119497671,0.0020507428
2019-05-31,USD,-0.0607077867,0.0191086171,-0.0785266613,0.0175742982,-0.0596644258,0.0019622979
2019-06-30,USD,0.0649042119,0.0109860194,0.0698487731,0.0800291492,0.0396562284,0.0016412821
2019-07-31,USD,0.0006785542,0.0018183095,0.0068169881,0.0000751484,-0.0114429871,0.0018676562
